[[3, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 2], [3, 0, 1, 3]]
         431909 function calls (431762 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 z3types.py:27(from_param)
    36844    0.003    0.000    0.003    0.000 z3types.py:31(from_param)
    57034    0.005    0.000    0.005    0.000 z3types.py:39(from_param)
       27    0.000    0.000    0.000    0.000 z3types.py:47(from_param)
      104    0.000    0.000    0.000    0.000 z3types.py:83(from_param)
       25    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.461    0.461 {built-in method builtins.exec}
      241    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
    40867    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     4348    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      108    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1735    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       89    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}


[[2, 6, 4, 0, 1, 3],
 [0, 6, 4, 2, 0, 2],
 [2, 6, 4, 0, 1, 3],
 [0, 4, 0, 0, 0, 0],
 [3, 6, 3, 0, 0, 0],
 [1, 0, 2, 1, 0, 0]]
         1523316 function calls (1523033 primitive calls) in 0.929 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.814    0.011 0h_n0.py:109(count_blues)
        1    0.000    0.000    0.926    0.926 0h_n0.py:148(solve)
        1    0.000    0.000    0.001    0.001 0h_n0.py:154(<listcomp>)
        1    0.000    0.000    0.015    0.015 0h_n0.py:159(<listcomp>)
        1    0.000    0.000    0.456    0.456 0h_n0.py:163(<listcomp>)
        1    0.000    0.000    0.393    0.393 0h_n0.py:168(<listcomp>)
        1    0.000    0.000    0.009    0.009 0h_n0.py:174(<listcomp>)
        1    0.000    0.000    0.001    0.001 0h_n0.py:183(<listcomp>)
       72    0.002    0.000    0.188    0.003 0h_n0.py:19(sum_left)
       72    0.002    0.000    0.192    0.003 0h_n0.py:38(sum_right)
       72    0.000    0.000    0.394    0.005 0h_n0.py:5(row_sum)
       72    0.000    0.000    0.406    0.006 0h_n0.py:57(col_sum)
       72    0.002    0.000    0.200    0.003 0h_n0.py:71(sum_top)
       72    0.002    0.000    0.193    0.003 0h_n0.py:90(sum_bottom)
        1    0.000    0.000    0.929    0.929 <string>:1(<module>)
       36    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
     1512    0.005    0.000    0.027    0.000 z3.py:1041(_to_expr_ref)
     9384    0.008    0.000    0.138    0.000 z3.py:1088(_coerce_expr_merge)
       36    0.000    0.000    0.000    0.000 z3.py:109(to_symbol)
     3648    0.011    0.000    0.449    0.000 z3.py:1106(_coerce_exprs)
     1332    0.002    0.000    0.049    0.000 z3.py:1118(_reduce)
     1044    0.002    0.000    0.129    0.000 z3.py:1124(_coerce_expr_list)
     1044    0.002    0.000    0.078    0.000 z3.py:1133(<listcomp>)
    25351    0.007    0.000    0.010    0.000 z3.py:1135(is_expr)
       36    0.000    0.000    0.000    0.000 z3.py:1157(is_app)
     1334    0.001    0.000    0.001    0.000 z3.py:126(_get_args)
     1476    0.010    0.000    0.353    0.000 z3.py:1268(If)
      480    0.002    0.000    0.005    0.000 z3.py:1313(_mk_bin)
     3348    0.007    0.000    0.118    0.000 z3.py:1392(cast)
     4248    0.008    0.000    0.061    0.000 z3.py:1426(sort)
     1478    0.002    0.000    0.020    0.000 z3.py:1553(BoolSort)
      552    0.001    0.000    0.006    0.000 z3.py:1570(BoolVal)
      828    0.001    0.000    0.002    0.000 z3.py:1693(_has_probe)
       36    0.000    0.000    0.006    0.000 z3.py:1700(And)
      792    0.007    0.000    0.127    0.000 z3.py:1732(Or)
   182205    0.023    0.000    0.023    0.000 z3.py:196(ref)
       37    0.000    0.000    0.000    0.000 z3.py:211(main_ctx)
     2460    0.002    0.000    0.012    0.000 z3.py:2145(is_int)
     7656    0.014    0.000    0.277    0.000 z3.py:2163(cast)
    10500    0.018    0.000    0.150    0.000 z3.py:2217(sort)
       36    0.000    0.000    0.001    0.000 z3.py:2227(is_int)
      480    0.002    0.000    0.065    0.000 z3.py:2252(__add__)
    37637    0.006    0.000    0.006    0.000 z3.py:231(_get_ctx)
       36    0.000    0.000    0.004    0.000 z3.py:2446(__le__)
      720    0.003    0.000    0.096    0.000 z3.py:2472(__gt__)
       72    0.000    0.000    0.009    0.000 z3.py:2485(__ge__)
       36    0.000    0.000    0.000    0.000 z3.py:2498(is_arith)
       36    0.000    0.000    0.000    0.000 z3.py:2554(_is_numeral)
       36    0.000    0.000    0.001    0.000 z3.py:2560(is_int_value)
       36    0.000    0.000    0.000    0.000 z3.py:2787(as_string)
      480    0.001    0.000    0.019    0.000 z3.py:2930(_py2expr)
     2940    0.005    0.000    0.041    0.000 z3.py:2942(IntSort)
     2904    0.004    0.000    0.006    0.000 z3.py:2974(_to_int_str)
     2904    0.010    0.000    0.114    0.000 z3.py:2989(IntVal)
       36    0.000    0.000    0.001    0.000 z3.py:3045(Int)
    27386    0.044    0.000    0.210    0.000 z3.py:307(__init__)
    27386    0.045    0.000    0.209    0.000 z3.py:312(__del__)
    84868    0.031    0.000    0.041    0.000 z3.py:362(ctx_ref)
    10020    0.024    0.000    0.147    0.000 z3.py:366(eq)
      216    0.000    0.000    0.000    0.000 z3.py:3724(is_bv)
    17148    0.005    0.000    0.007    0.000 z3.py:412(is_ast)
       36    0.000    0.000    0.000    0.000 z3.py:450(_ast_kind)
     2808    0.006    0.000    0.010    0.000 z3.py:455(_ctx_from_ast_arg_list)
     1044    0.004    0.000    0.005    0.000 z3.py:478(_to_ast_array)
     2460    0.002    0.000    0.010    0.000 z3.py:508(_sort_kind)
    58372    0.044    0.000    0.239    0.000 z3.py:513(as_ast)
     2460    0.001    0.000    0.011    0.000 z3.py:519(kind)
    23508    0.003    0.000    0.003    0.000 z3.py:56(z3_debug)
        7    0.000    0.000    0.000    0.000 z3.py:596(is_sort)
        1    0.000    0.000    0.000    0.000 z3.py:6004(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6010(__del__)
       36    0.000    0.000    0.001    0.000 z3.py:6021(eval)
       36    0.000    0.000    0.001    0.000 z3.py:6050(evaluate)
     3420    0.001    0.000    0.001    0.000 z3.py:64(_is_int)
        1    0.000    0.000    0.000    0.000 z3.py:6438(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6444(__eq__)
        1    0.000    0.000    0.000    0.000 z3.py:6480(__init__)
        1    0.000    0.000    0.002    0.002 z3.py:6493(__del__)
        1    0.000    0.000    0.015    0.015 z3.py:6585(assert_exprs)
        1    0.000    0.000    0.015    0.015 z3.py:6604(add)
        1    0.000    0.000    0.032    0.032 z3.py:6671(check)
        1    0.000    0.000    0.000    0.000 z3.py:6700(model)
        7    0.000    0.000    0.000    0.000 z3.py:787(is_func_decl)
     3552    0.001    0.000    0.002    0.000 z3.py:8104(is_probe)
      504    0.002    0.000    0.038    0.000 z3.py:8302(Sum)
      576    0.000    0.000    0.000    0.000 z3.py:8319(<lambda>)
    42336    0.006    0.000    0.006    0.000 z3.py:903(as_ast)
      864    0.003    0.000    0.112    0.000 z3.py:932(__eq__)
    20712    0.003    0.000    0.003    0.000 z3.py:94(_z3_assert)
   157841    0.148    0.000    0.164    0.000 z3core.py:1411(Check)
    27386    0.044    0.000    0.077    0.000 z3core.py:1474(Z3_inc_ref)
    27386    0.043    0.000    0.078    0.000 z3core.py:1478(Z3_dec_ref)
       36    0.000    0.000    0.000    0.000 z3core.py:1581(Z3_mk_string_symbol)
     1478    0.003    0.000    0.004    0.000 z3core.py:1591(Z3_mk_bool_sort)
     2940    0.005    0.000    0.008    0.000 z3core.py:1596(Z3_mk_int_sort)
       36    0.000    0.000    0.000    0.000 z3core.py:1682(Z3_mk_const)
       57    0.000    0.000    0.000    0.000 z3core.py:1706(Z3_mk_true)
      495    0.001    0.000    0.001    0.000 z3core.py:1711(Z3_mk_false)
      864    0.003    0.000    0.004    0.000 z3core.py:1716(Z3_mk_eq)
     1476    0.005    0.000    0.007    0.000 z3core.py:1731(Z3_mk_ite)
       36    0.000    0.000    0.000    0.000 z3core.py:1751(Z3_mk_and)
      792    0.003    0.000    0.004    0.000 z3core.py:1756(Z3_mk_or)
      696    0.003    0.000    0.004    0.000 z3core.py:1761(Z3_mk_add)
       36    0.000    0.000    0.000    0.000 z3core.py:1806(Z3_mk_le)
      720    0.002    0.000    0.003    0.000 z3core.py:1811(Z3_mk_gt)
       72    0.000    0.000    0.000    0.000 z3core.py:1816(Z3_mk_ge)
     2904    0.009    0.000    0.017    0.000 z3core.py:2186(Z3_mk_numeral)
    58372    0.094    0.000    0.167    0.000 z3core.py:2556(Z3_sort_to_ast)
     3972    0.006    0.000    0.011    0.000 z3core.py:2566(Z3_get_sort_kind)
    10020    0.018    0.000    0.031    0.000 z3core.py:2781(Z3_is_eq_ast)
    16260    0.028    0.000    0.049    0.000 z3core.py:2796(Z3_get_sort)
     1548    0.003    0.000    0.005    0.000 z3core.py:2811(Z3_get_ast_kind)
       36    0.000    0.000    0.000    0.000 z3core.py:2821(Z3_is_numeral_ast)
       36    0.000    0.000    0.000    0.000 z3core.py:2841(Z3_get_numeral_string)
        1    0.000    0.000    0.000    0.000 z3core.py:3056(Z3_model_inc_ref)
        1    0.000    0.000    0.000    0.000 z3core.py:3060(Z3_model_dec_ref)
       36    0.000    0.000    0.000    0.000 z3core.py:3064(Z3_model_eval)
        1    0.000    0.000    0.000    0.000 z3core.py:3675(Z3_mk_solver)
        1    0.000    0.000    0.000    0.000 z3core.py:3723(Z3_solver_inc_ref)
        1    0.002    0.002    0.002    0.002 z3core.py:3727(Z3_solver_dec_ref)
      144    0.009    0.000    0.010    0.000 z3core.py:3752(Z3_solver_assert)
        1    0.032    0.032    0.032    0.032 z3core.py:3806(Z3_solver_check_assumptions)
        1    0.000    0.000    0.000    0.000 z3core.py:3826(Z3_solver_get_model)
     2940    0.002    0.000    0.004    0.000 z3core.py:69(_str_to_bytes)
       36    0.000    0.000    0.000    0.000 z3core.py:83(_to_pystr)
       36    0.000    0.000    0.002    0.000 z3printer.py:1000(pp_expr)
      7/1    0.000    0.000    0.003    0.003 z3printer.py:1089(pp_list)
     43/1    0.000    0.000    0.003    0.003 z3printer.py:1106(main)
        1    0.000    0.000    0.003    0.003 z3printer.py:1132(__call__)
        1    0.000    0.000    0.004    0.004 z3printer.py:1236(obj_to_string)
        1    0.000    0.000    0.000    0.000 z3printer.py:1271(in_html_mode)
        1    0.000    0.000    0.004    0.004 z3printer.py:1280(print_matrix)
        1    0.000    0.000    0.000    0.000 z3printer.py:13(_z3_assert)
      125    0.000    0.000    0.000    0.000 z3printer.py:142(u)
       42    0.000    0.000    0.000    0.000 z3printer.py:189(_support_pp)
       12    0.000    0.000    0.000    0.000 z3printer.py:290(is_compose)
        5    0.000    0.000    0.000    0.000 z3printer.py:292(is_choice)
       26    0.000    0.000    0.000    0.000 z3printer.py:294(is_indent)
       33    0.000    0.000    0.000    0.000 z3printer.py:296(is_string)
      193    0.000    0.000    0.000    0.000 z3printer.py:308(flat)
       47    0.000    0.000    0.000    0.000 z3printer.py:312(__init__)
       47    0.000    0.000    0.000    0.000 z3printer.py:313(<listcomp>)
       14    0.000    0.000    0.000    0.000 z3printer.py:319(is_compose)
     26/7    0.000    0.000    0.000    0.000 z3printer.py:323(space_upto_nl)
     26/7    0.000    0.000    0.000    0.000 z3printer.py:331(flat)
     26/7    0.000    0.000    0.000    0.000 z3printer.py:332(<listcomp>)
        7    0.000    0.000    0.000    0.000 z3printer.py:335(is_choice)
        6    0.000    0.000    0.000    0.000 z3printer.py:341(flat)
       20    0.000    0.000    0.000    0.000 z3printer.py:345(__init__)
     13/7    0.000    0.000    0.000    0.000 z3printer.py:353(space_upto_nl)
     13/7    0.000    0.000    0.001    0.000 z3printer.py:355(flat)
        7    0.000    0.000    0.000    0.000 z3printer.py:357(is_indent)
        7    0.000    0.000    0.000    0.000 z3printer.py:361(__init__)
        5    0.000    0.000    0.000    0.000 z3printer.py:363(is_linebreak)
       35    0.000    0.000    0.000    0.000 z3printer.py:369(flat)
      120    0.000    0.000    0.000    0.000 z3printer.py:373(__init__)
      115    0.000    0.000    0.000    0.000 z3printer.py:376(is_string)
      228    0.000    0.000    0.000    0.000 z3printer.py:380(space_upto_nl)
        7    0.000    0.000    0.000    0.000 z3printer.py:383(fits)
      120    0.000    0.000    0.000    0.000 z3printer.py:387(to_format)
       40    0.000    0.000    0.000    0.000 z3printer.py:396(compose)
       20    0.000    0.000    0.000    0.000 z3printer.py:401(indent)
        7    0.000    0.000    0.001    0.000 z3printer.py:404(group)
        7    0.000    0.000    0.000    0.000 z3printer.py:407(line_break)
      115    0.000    0.000    0.000    0.000 z3printer.py:410(_len)
        7    0.000    0.000    0.000    0.000 z3printer.py:416(seq)
        7    0.000    0.000    0.001    0.000 z3printer.py:443(seq3)
      115    0.000    0.000    0.000    0.000 z3printer.py:460(pp_string)
     14/1    0.000    0.000    0.001    0.001 z3printer.py:470(pp_compose)
      7/1    0.000    0.000    0.001    0.001 z3printer.py:474(pp_choice)
        5    0.000    0.000    0.000    0.000 z3printer.py:481(pp_line_break)
    148/1    0.000    0.000    0.001    0.001 z3printer.py:493(pp)
        1    0.000    0.000    0.001    0.001 z3printer.py:509(__call__)
       36    0.000    0.000    0.001    0.000 z3printer.py:586(pp_int)
       36    0.000    0.000    0.002    0.000 z3printer.py:917(pp_app)
   315682    0.033    0.000    0.033    0.000 z3types.py:19(from_param)
       36    0.000    0.000    0.000    0.000 z3types.py:27(from_param)
    65284    0.007    0.000    0.007    0.000 z3types.py:31(from_param)
   100684    0.010    0.000    0.010    0.000 z3types.py:39(from_param)
       38    0.000    0.000    0.000    0.000 z3types.py:47(from_param)
      148    0.000    0.000    0.000    0.000 z3types.py:83(from_param)
       36    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       47    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.929    0.929 {built-in method builtins.exec}
      343    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
    70478    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     7105    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      154    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       36    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     2940    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
      125    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}


[[7, 4, 6, 7, 4, 0, 1],
 [3, 0, 3, 4, 0, 1, 2],
 [3, 0, 4, 5, 3, 0, 0],
 [4, 1, 0, 6, 4, 6, 6],
 [0, 0, 0, 0, 0, 4, 4],
 [2, 2, 3, 0, 3, 5, 5],
 [0, 0, 5, 4, 5, 7, 7]]
         2450468 function calls (2450111 primitive calls) in 1.574 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.000    0.000    1.325    0.014 0h_n0.py:109(count_blues)
        1    0.000    0.000    1.570    1.570 0h_n0.py:148(solve)
        1    0.000    0.000    0.002    0.002 0h_n0.py:154(<listcomp>)
        1    0.000    0.000    0.020    0.020 0h_n0.py:159(<listcomp>)
        1    0.000    0.000    0.603    0.603 0h_n0.py:163(<listcomp>)
        1    0.001    0.001    0.770    0.770 0h_n0.py:168(<listcomp>)
        1    0.000    0.000    0.014    0.014 0h_n0.py:174(<listcomp>)
        1    0.000    0.000    0.001    0.001 0h_n0.py:183(<listcomp>)
       98    0.003    0.000    0.318    0.003 0h_n0.py:19(sum_left)
       98    0.004    0.000    0.312    0.003 0h_n0.py:38(sum_right)
       98    0.000    0.000    0.648    0.007 0h_n0.py:5(row_sum)
       98    0.001    0.000    0.657    0.007 0h_n0.py:57(col_sum)
       98    0.004    0.000    0.352    0.004 0h_n0.py:71(sum_top)
       98    0.003    0.000    0.286    0.003 0h_n0.py:90(sum_bottom)
        1    0.000    0.000    1.574    1.574 <string>:1(<module>)
       49    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
     2450    0.007    0.000    0.041    0.000 z3.py:1041(_to_expr_ref)
    15106    0.012    0.000    0.241    0.000 z3.py:1088(_coerce_expr_merge)
       49    0.000    0.000    0.000    0.000 z3.py:109(to_symbol)
     5936    0.018    0.000    0.726    0.000 z3.py:1106(_coerce_exprs)
     2009    0.003    0.000    0.095    0.000 z3.py:1118(_reduce)
     1617    0.003    0.000    0.223    0.000 z3.py:1124(_coerce_expr_list)
     1617    0.003    0.000    0.125    0.000 z3.py:1133(<listcomp>)
    40734    0.012    0.000    0.016    0.000 z3.py:1135(is_expr)
       49    0.000    0.000    0.000    0.000 z3.py:1157(is_app)
     2011    0.001    0.000    0.002    0.000 z3.py:126(_get_args)
     2401    0.017    0.000    0.568    0.000 z3.py:1268(If)
      840    0.003    0.000    0.008    0.000 z3.py:1313(_mk_bin)
     5341    0.011    0.000    0.193    0.000 z3.py:1392(cast)
     6930    0.012    0.000    0.097    0.000 z3.py:1426(sort)
     2403    0.004    0.000    0.032    0.000 z3.py:1553(BoolSort)
      770    0.001    0.000    0.008    0.000 z3.py:1570(BoolVal)
     1323    0.001    0.000    0.003    0.000 z3.py:1693(_has_probe)
       49    0.000    0.000    0.008    0.000 z3.py:1700(And)
     1274    0.009    0.000    0.222    0.000 z3.py:1732(Or)
   293391    0.037    0.000    0.037    0.000 z3.py:196(ref)
       50    0.000    0.000    0.000    0.000 z3.py:211(main_ctx)
     3927    0.002    0.000    0.019    0.000 z3.py:2145(is_int)
    12362    0.022    0.000    0.448    0.000 z3.py:2163(cast)
    17017    0.028    0.000    0.242    0.000 z3.py:2217(sort)
       49    0.000    0.000    0.001    0.000 z3.py:2227(is_int)
      840    0.002    0.000    0.110    0.000 z3.py:2252(__add__)
    60065    0.009    0.000    0.009    0.000 z3.py:231(_get_ctx)
       49    0.000    0.000    0.005    0.000 z3.py:2446(__le__)
     1176    0.004    0.000    0.155    0.000 z3.py:2472(__gt__)
       98    0.000    0.000    0.011    0.000 z3.py:2485(__ge__)
       49    0.000    0.000    0.000    0.000 z3.py:2498(is_arith)
       49    0.000    0.000    0.000    0.000 z3.py:2554(_is_numeral)
       49    0.000    0.000    0.002    0.000 z3.py:2560(is_int_value)
       49    0.000    0.000    0.001    0.000 z3.py:2787(as_string)
      672    0.001    0.000    0.025    0.000 z3.py:2930(_py2expr)
     4599    0.008    0.000    0.063    0.000 z3.py:2942(IntSort)
     4550    0.007    0.000    0.009    0.000 z3.py:2974(_to_int_str)
     4550    0.014    0.000    0.178    0.000 z3.py:2989(IntVal)
       49    0.000    0.000    0.002    0.000 z3.py:3045(Int)
    43920    0.069    0.000    0.339    0.000 z3.py:307(__init__)
    43920    0.073    0.000    0.331    0.000 z3.py:312(__del__)
   137624    0.068    0.000    0.084    0.000 z3.py:362(ctx_ref)
    16345    0.039    0.000    0.262    0.000 z3.py:366(eq)
      294    0.000    0.000    0.000    0.000 z3.py:3724(is_bv)
    27615    0.007    0.000    0.010    0.000 z3.py:412(is_ast)
       49    0.000    0.000    0.000    0.000 z3.py:450(_ast_kind)
     4410    0.009    0.000    0.015    0.000 z3.py:455(_ctx_from_ast_arg_list)
     1617    0.006    0.000    0.007    0.000 z3.py:478(_to_ast_array)
     3927    0.003    0.000    0.015    0.000 z3.py:508(_sort_kind)
    94588    0.072    0.000    0.406    0.000 z3.py:513(as_ast)
     3927    0.002    0.000    0.017    0.000 z3.py:519(kind)
    38549    0.004    0.000    0.004    0.000 z3.py:56(z3_debug)
        8    0.000    0.000    0.000    0.000 z3.py:596(is_sort)
        1    0.000    0.000    0.000    0.000 z3.py:6004(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6010(__del__)
       49    0.000    0.000    0.001    0.000 z3.py:6021(eval)
       49    0.000    0.000    0.001    0.000 z3.py:6050(evaluate)
     5271    0.001    0.000    0.002    0.000 z3.py:64(_is_int)
        1    0.000    0.000    0.000    0.000 z3.py:6438(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6444(__eq__)
        1    0.000    0.000    0.000    0.000 z3.py:6480(__init__)
        1    0.000    0.000    0.002    0.002 z3.py:6493(__del__)
        1    0.000    0.000    0.023    0.023 z3.py:6585(assert_exprs)
        1    0.000    0.000    0.023    0.023 z3.py:6604(add)
        1    0.000    0.000    0.133    0.133 z3.py:6671(check)
        1    0.000    0.000    0.000    0.000 z3.py:6700(model)
        8    0.000    0.000    0.000    0.000 z3.py:787(is_func_decl)
     5264    0.001    0.000    0.003    0.000 z3.py:8104(is_probe)
      686    0.002    0.000    0.055    0.000 z3.py:8302(Sum)
      784    0.000    0.000    0.000    0.000 z3.py:8319(<lambda>)
    67788    0.009    0.000    0.009    0.000 z3.py:903(as_ast)
     1372    0.004    0.000    0.176    0.000 z3.py:932(__eq__)
    33978    0.004    0.000    0.004    0.000 z3.py:94(_z3_assert)
   254369    0.242    0.000    0.269    0.000 z3core.py:1411(Check)
    43920    0.069    0.000    0.125    0.000 z3core.py:1474(Z3_inc_ref)
    43920    0.067    0.000    0.122    0.000 z3core.py:1478(Z3_dec_ref)
       49    0.000    0.000    0.000    0.000 z3core.py:1581(Z3_mk_string_symbol)
     2403    0.004    0.000    0.007    0.000 z3core.py:1591(Z3_mk_bool_sort)
     4599    0.007    0.000    0.012    0.000 z3core.py:1596(Z3_mk_int_sort)
       49    0.000    0.000    0.000    0.000 z3core.py:1682(Z3_mk_const)
       80    0.000    0.000    0.000    0.000 z3core.py:1706(Z3_mk_true)
      690    0.001    0.000    0.002    0.000 z3core.py:1711(Z3_mk_false)
     1372    0.004    0.000    0.006    0.000 z3core.py:1716(Z3_mk_eq)
     2401    0.008    0.000    0.011    0.000 z3core.py:1731(Z3_mk_ite)
       49    0.000    0.000    0.000    0.000 z3core.py:1751(Z3_mk_and)
     1274    0.005    0.000    0.006    0.000 z3core.py:1756(Z3_mk_or)
     1134    0.004    0.000    0.005    0.000 z3core.py:1761(Z3_mk_add)
       49    0.000    0.000    0.000    0.000 z3core.py:1806(Z3_mk_le)
     1176    0.004    0.000    0.005    0.000 z3core.py:1811(Z3_mk_gt)
       98    0.000    0.000    0.000    0.000 z3core.py:1816(Z3_mk_ge)
     4550    0.017    0.000    0.028    0.000 z3core.py:2186(Z3_mk_numeral)
    94588    0.147    0.000    0.272    0.000 z3core.py:2556(Z3_sort_to_ast)
     6377    0.010    0.000    0.017    0.000 z3core.py:2566(Z3_get_sort_kind)
    16345    0.031    0.000    0.052    0.000 z3core.py:2781(Z3_is_eq_ast)
    26397    0.044    0.000    0.079    0.000 z3core.py:2796(Z3_get_sort)
     2499    0.004    0.000    0.008    0.000 z3core.py:2811(Z3_get_ast_kind)
       49    0.000    0.000    0.000    0.000 z3core.py:2821(Z3_is_numeral_ast)
       49    0.000    0.000    0.000    0.000 z3core.py:2841(Z3_get_numeral_string)
        1    0.000    0.000    0.000    0.000 z3core.py:3056(Z3_model_inc_ref)
        1    0.000    0.000    0.000    0.000 z3core.py:3060(Z3_model_dec_ref)
       49    0.000    0.000    0.000    0.000 z3core.py:3064(Z3_model_eval)
        1    0.000    0.000    0.000    0.000 z3core.py:3675(Z3_mk_solver)
        1    0.000    0.000    0.000    0.000 z3core.py:3723(Z3_solver_inc_ref)
        1    0.002    0.002    0.002    0.002 z3core.py:3727(Z3_solver_dec_ref)
      196    0.014    0.000    0.014    0.000 z3core.py:3752(Z3_solver_assert)
        1    0.133    0.133    0.133    0.133 z3core.py:3806(Z3_solver_check_assumptions)
        1    0.000    0.000    0.000    0.000 z3core.py:3826(Z3_solver_get_model)
     4599    0.003    0.000    0.006    0.000 z3core.py:69(_str_to_bytes)
       49    0.000    0.000    0.000    0.000 z3core.py:83(_to_pystr)
       49    0.000    0.000    0.003    0.000 z3printer.py:1000(pp_expr)
      8/1    0.000    0.000    0.004    0.004 z3printer.py:1089(pp_list)
     57/1    0.000    0.000    0.004    0.004 z3printer.py:1106(main)
        1    0.000    0.000    0.004    0.004 z3printer.py:1132(__call__)
        1    0.000    0.000    0.005    0.005 z3printer.py:1236(obj_to_string)
        1    0.000    0.000    0.000    0.000 z3printer.py:1271(in_html_mode)
        1    0.000    0.000    0.005    0.005 z3printer.py:1280(print_matrix)
        1    0.000    0.000    0.000    0.000 z3printer.py:13(_z3_assert)
      167    0.000    0.000    0.000    0.000 z3printer.py:142(u)
       56    0.000    0.000    0.000    0.000 z3printer.py:189(_support_pp)
       14    0.000    0.000    0.000    0.000 z3printer.py:290(is_compose)
        6    0.000    0.000    0.000    0.000 z3printer.py:292(is_choice)
       30    0.000    0.000    0.000    0.000 z3printer.py:294(is_indent)
       38    0.000    0.000    0.000    0.000 z3printer.py:296(is_string)
      260    0.000    0.000    0.000    0.000 z3printer.py:308(flat)
       54    0.000    0.000    0.000    0.000 z3printer.py:312(__init__)
       54    0.000    0.000    0.000    0.000 z3printer.py:313(<listcomp>)
       16    0.000    0.000    0.000    0.000 z3printer.py:319(is_compose)
     30/8    0.000    0.000    0.000    0.000 z3printer.py:323(space_upto_nl)
     30/8    0.000    0.000    0.000    0.000 z3printer.py:331(flat)
     30/8    0.000    0.000    0.000    0.000 z3printer.py:332(<listcomp>)
        8    0.000    0.000    0.000    0.000 z3printer.py:335(is_choice)
        7    0.000    0.000    0.000    0.000 z3printer.py:341(flat)
       23    0.000    0.000    0.000    0.000 z3printer.py:345(__init__)
     15/8    0.000    0.000    0.000    0.000 z3printer.py:353(space_upto_nl)
     15/8    0.000    0.000    0.000    0.000 z3printer.py:355(flat)
        8    0.000    0.000    0.000    0.000 z3printer.py:357(is_indent)
        8    0.000    0.000    0.000    0.000 z3printer.py:361(__init__)
        6    0.000    0.000    0.000    0.000 z3printer.py:363(is_linebreak)
       48    0.000    0.000    0.000    0.000 z3printer.py:369(flat)
      161    0.000    0.000    0.000    0.000 z3printer.py:373(__init__)
      155    0.000    0.000    0.000    0.000 z3printer.py:376(is_string)
      308    0.000    0.000    0.000    0.000 z3printer.py:380(space_upto_nl)
        8    0.000    0.000    0.000    0.000 z3printer.py:383(fits)
      161    0.000    0.000    0.000    0.000 z3printer.py:387(to_format)
       46    0.000    0.000    0.000    0.000 z3printer.py:396(compose)
       23    0.000    0.000    0.000    0.000 z3printer.py:401(indent)
        8    0.000    0.000    0.000    0.000 z3printer.py:404(group)
        8    0.000    0.000    0.000    0.000 z3printer.py:407(line_break)
      155    0.000    0.000    0.000    0.000 z3printer.py:410(_len)
